,ID,A,B,C,D,AIC,chi-squared,r-squared,status
0,1587,56.598281040110535,-3.3034540717750653,0.06360035817245964,-0.0003956733286578613,-19.30621642886135,0.14156760357501547,0.9476621563922353,C
0,1588,4.591655770892814,-0.4662495750963852,0.012627619503395493,-9.427331190168915e-05,-43.39200843541845,0.00017183707393239343,0.9998243600712966,C
0,1589,-6583.228190703661,304.96499462624456,-4.661261239512282,0.023568009706614507,17.331854167416925,32.32395983895104,0.8514581361669634,C
0,1590,-8028.79113783226,305.8903479985054,-3.85676998737186,0.01612352048180825,9.207047151542318,8.317364654649053,0.9482435920524989,C
0,1591,-2940.754412124021,158.4307327778719,-2.555050625714647,0.013001461341317515,11.38179935081676,10.542267938151289,0.9992131398378127,C
0,1592,1105.6073390309975,-12.766540718675255,-0.15487836163511093,0.0018617159821272924,4.004422353027949,3.082774062902499,0.9997868271329817,C
0,1593,5.246835639429197,-0.288495177420056,0.005196795100797619,-3.051463506105311e-05,-158.01295647024034,0.001777459345589047,0.8294174565450101,C
0,1594,119.99356341075806,-4.591461914309203,0.057728223788756236,-0.00023739510991946716,-25.39776020615175,0.22010784068667102,0.8850566033826237,C
0,1595,-289.6088953656337,39.14676652762076,-1.5247068670205741,0.01856180705338043,10.618634710890321,10.175682670884466,0.9970031772179717,C
0,1596,3.5638755675405593,-0.21684633377526819,0.004252730774164031,-2.6244556143407963e-05,-60.38421278738565,0.0015514193509875186,0.9737662044696279,C
0,1597,10.683167286734019,-0.8779722590307902,0.02373665249985279,-0.0002030171695126264,-49.04829465082231,0.0020216399719893154,0.9940338629642325,C
0,1598,8.217282712643136,-0.6706058191349257,0.018266647854817745,-0.00015782999541416213,-32.482237605800634,0.007046106165167347,0.9387123701916589,C
0,1599,12524.091375345515,-392.9478830462098,4.116009311847953,-0.014340737353700863,41.91220066014634,389.64921003158577,0.9916994080376543,C
0,1600,-348.07148869167196,33.45030742252529,-0.9503356247572654,0.008498879872086255,10.893821363264728,10.583680094307306,0.957336971769064,C
0,1601,2.816592183936595,-0.17332849017097496,0.0034711202548618216,-2.1504088976599e-05,-170.26460989173324,0.062053418044546116,0.8095934008634693,C
0,1602,0.023162350776347564,0.012085787526018356,0.0017583954289394886,-0.00011795582263995199,-122.41733860993409,0.012841978001089193,0.8659289169223119,C
0,1603,38.04820316698382,1.4555063180194132,-0.06736648296483762,0.000561243694933087,6.570060524566785,5.706655248156235,0.9845573152628143,C
0,1604,-2.065947780552644,9.882935977264701,-0.26163154425811397,0.0017696585674471087,18.38469459282386,33.870414386258545,0.9539681787142107,C
0,1605,-991.4592273332903,49.295140123227824,-0.7921154221214636,0.0041687354748673,11.579331215753939,10.229791060740174,0.8988177122133255,C
0,1606,0.34952581082633144,-0.03352549500215125,0.0010202709589992014,-9.530152444027789e-06,-71.28326528627073,8.437236776426189e-05,0.9278416801515222,C
0,1607,-51.96379372061135,1.556505410930108,-0.014976623903283012,4.637802910781937e-05,-39.04764058473951,0.048301578234718756,0.9080450458008016,C
0,1608,0.6290735042631714,-0.05740236674570286,0.0012799545493236211,-7.529512711302831e-06,-60.553304988372076,0.021618121395786272,0.876780150466631,C
0,1609,16.934412820249044,-0.843200503062535,0.013750976998312221,-7.318377554445192e-05,-147.42781049100094,0.0032003131880017155,0.946798123873804,C
0,1610,30.091018923111363,-1.3974257227464042,0.021579818862486527,-0.00011045209558344427,-136.00254276305807,0.0019742430884298373,0.8728930847020837,C
0,1611,4.0813558019341345,-0.3774863481746205,0.009978308219612325,-7.739152975199237e-05,-55.06182499604421,0.003017620769305322,0.994189006736329,C
0,1612,1241.813835741997,-39.49754250940578,0.4157062331712593,-0.001441756695542555,-13.619445406901256,0.0662412983140064,0.9970266402754728,C
0,1613,-84.04884711186118,7.573889872920107,-0.2084464469636122,0.0018383781489944558,-6.906944280772077,0.5002080114197479,0.9215916065118263,C
