,ID,A,B,C,D,AIC,BIC,chi-squared
0,566,-23827.8089929,237.831529544,-0.791149702589,0.00087675454625,2.34598349198,1.51302136889,2.3382981643
0,567,-25346.9622068,252.276246184,-0.836689401935,0.000924305758124,4.72523082545,3.89226870236,3.47628643211
0,568,-20192.5738081,201.771857181,-0.672136146399,0.000746030637633,-1.99486259458,-2.82782471767,1.1342243631
0,569,-28569.3320035,283.785835637,-0.939389775426,0.00103597435398,4.14794028256,5.73952137375,7.75011766444
0,570,-29606.3979134,293.033807102,-0.966382997121,0.00106160182268,8.79190875582,10.383489847,11.8211107291
0,571,-21199.7472446,209.134671744,-0.687529504593,0.000752937964836,15.5360680419,17.4756946411,22.4864368313
0,572,-25612.7226325,252.918888935,-0.832101758146,0.000911799159494,15.489280434,17.4289070331,22.3989336455
0,573,-27072.9208752,268.261244528,-0.885678725867,0.000973989133485,14.9305955259,16.870222125,21.3800079394
0,574,-28183.6668242,278.805292395,-0.918883335048,0.00100868272385,17.427486363,19.3671129621,26.3253015638
0,575,-19142.1393149,190.832427692,-0.63389614608,0.000701317801986,12.8995210693,15.1593184992,18.9506000051
0,576,-20849.294477,207.73461367,-0.68957919825,0.000762340372835,16.1260812912,18.3858787211,24.2892176486
0,577,-28023.7495162,282.368535283,-0.948144527466,0.00106066175618,10.3230412067,12.2626678058,14.5631361867
0,578,-21427.4308849,213.348504701,-0.707757076019,0.000781939151988,16.1154368222,18.3752342521,24.2693376483
0,579,-20747.3756347,206.301613317,-0.683432702923,0.000753987366362,12.4667732506,14.7265706804,18.3301510025
0,580,-20698.2435191,206.640215491,-0.687398043356,0.000761609356097,13.2643092723,15.5241067021,19.4898969185
0,581,-31898.987923,323.386986752,-1.09240391288,0.00122925642707,18.7452005671,19.9555409391,29.2858700751
0,582,-29881.4436591,303.239500794,-1.02546225372,0.0011552640973,16.6577600021,17.8681003741,23.7684980647
0,583,-31333.0283156,317.393162184,-1.07126998924,0.00120446413561,19.4917303135,20.7020706854,31.5558226276
0,584,-29997.3824491,303.84286657,-1.02552125714,0.00115302791743,17.9808911068,19.1912314788,27.1309245248
0,585,-32005.7907602,323.531252719,-1.08968203335,0.00122254075383,20.2907723298,21.5011127018,34.1807399466
